National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,792,52,695,517,"2,504",411,299,92,24,"2,261","1,150",109,185,858,701,348,376,694,644,144,463,330,873,364,581,778,161,166,235,120,530,317,"1,128","1,218",92,984,616,292,"1,208",65,750,124,958,"2,746",218,63,689,422,282,528,139,"30,296"
2011,811,63,755,509,"2,617",407,208,94,22,"2,212","1,119",97,152,835,676,329,350,669,634,126,455,356,834,334,567,716,187,164,223,84,586,305,"1,093","1,143",130,942,609,310,"1,191",63,767,101,867,"2,790",224,48,700,421,320,532,120,"29,867"
2012,809,54,738,504,"2,733",434,248,108,14,"2,253","1,126",114,169,886,720,330,368,694,653,151,462,365,874,349,507,762,192,190,238,101,553,338,"1,096","1,229",147,"1,022",643,306,"1,211",62,806,118,929,"3,033",200,70,715,403,318,549,112,"31,006"
2013,767,49,782,460,"2,860",432,265,94,20,"2,223","1,085",93,200,895,710,290,327,590,651,136,431,334,876,357,558,683,203,190,245,124,508,275,"1,124","1,188",133,917,621,292,"1,119",62,719,121,911,"3,047",202,63,682,401,305,507,75,"30,202"
2014,747,68,708,436,"2,859",451,234,109,21,"2,336","1,080",94,175,845,704,288,341,612,665,115,416,336,831,324,543,696,176,203,268,89,523,340,980,"1,188",121,917,589,322,"1,107",51,756,125,893,"3,190",222,42,659,429,242,459,131,"30,056"
2015,784,60,811,491,"3,123",507,257,127,23,"2,699","1,329",85,198,914,752,282,322,694,698,144,479,327,896,375,604,803,204,218,297,103,521,269,"1,061","1,275",111,"1,029",590,411,"1,102",41,911,116,888,"3,190",258,50,712,499,246,523,129,"32,538"
2016,979,78,856,504,"3,540",558,292,116,26,"2,935","1,424",109,232,"1,000",776,355,381,763,704,150,484,356,981,357,625,872,171,194,304,130,570,361,981,"1,348",102,"1,053",628,448,"1,088",48,941,103,962,"3,427",259,57,722,504,250,544,100,"34,748"
2017,864,75,917,486,"3,569",600,263,112,29,"2,925","1,440",96,224,998,838,301,407,721,705,163,518,333,940,341,609,865,169,210,292,98,591,341,939,"1,306",106,"1,094",613,403,"1,083",77,925,111,942,"3,352",247,63,783,534,280,557,105,"34,560"
