National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),State/County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Florida - Alachua,Florida - Baker,Florida - Bay,Florida - Bradford,Florida - Brevard,Florida - Broward,Florida - Calhoun,Florida - Charlotte,Florida - Citrus,Florida - Clay,Florida - Collier,Florida - Columbia,Florida - Miami-Dade,Florida - DeSoto,Florida - Dixie,Florida - Duval,Florida - Escambia,Florida - Flagler,Florida - Franklin,Florida - Gadsden,Florida - Gilchrist,Florida - Glades,Florida - Gulf,Florida - Hamilton,Florida - Hardee,Florida - Hendry,Florida - Hernando,Florida - Highlands,Florida - Hillsborough,Florida - Holmes,Florida - Indian,Florida - Jackson,Florida - Jefferson,Florida - Lafayette,Florida - Lake,Florida - Lee,Florida - Leon,Florida - Levy,Florida - Liberty,Florida - Madison,Florida - Manatee,Florida - Marion,Florida - Martin,Florida - Monroe,Florida - Nassau,Florida - Okaloosa,Florida - Okeechobee,Florida - Orange,Florida - Osceola,Florida - Palm,Florida - Pasco,Florida - Pinellas,Florida - Polk,Florida - Putnam,Florida - St. Johns,Florida - St. Lucie,Florida - Santa,Florida - Sarasota,Florida - Seminole,Florida - Sumter,Florida - Suwannee,Florida - Taylor,Florida - Union,Florida - Volusia,Florida - Wakulla,Florida - Walton,Florida - Washington,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,River,,,,,,,,,,,,,,,,,,,Beach,,,,,,,Rosa,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,23,10,17,6,62,170,3,20,24,13,37,22,227,4,3,105,36,16,5,10,4,2,1,7,13,9,25,14,145,4,21,8,4,2,39,59,33,11,1,2,43,68,25,19,15,20,12,125,31,117,70,89,79,20,21,27,21,37,30,17,11,6,5,102,3,24,7,"2,261"
2011,23,12,24,8,67,149,5,24,16,15,33,28,223,6,5,87,43,22,2,7,2,5,2,8,10,9,29,10,141,6,19,13,8,1,44,71,31,10,3,6,39,55,23,17,12,21,4,117,41,107,60,108,87,15,24,22,21,33,44,16,14,1,1,77,4,17,5,"2,212"
2012,26,6,30,4,49,179,4,17,19,15,27,9,217,6,9,115,38,14,3,12,2,3,3,8,7,6,22,17,170,2,9,9,6,1,34,63,36,9,1,8,42,60,25,15,10,23,7,143,25,124,62,97,80,21,28,27,18,44,21,18,13,12,3,89,7,14,10,"2,253"
2013,27,5,17,5,71,166,1,21,16,9,28,16,212,2,6,125,42,16,2,9,3,8,2,3,4,10,27,18,166,6,20,9,4,5,41,83,18,18,2,7,38,43,14,19,10,20,11,114,38,132,53,81,82,17,28,30,29,30,39,19,11,6,2,82,3,16,6,"2,223"
2014,26,2,29,4,60,170,2,19,24,17,37,13,268,6,2,113,43,22,2,6,3,3,2,5,9,6,19,20,142,5,20,18,1,0,36,78,31,13,1,4,46,49,19,11,17,27,9,129,46,124,64,107,107,19,35,34,17,31,28,18,16,6,1,80,2,11,2,"2,336"
2015,35,8,30,9,77,207,3,21,27,28,42,22,315,10,5,124,46,11,1,12,3,5,2,5,2,10,29,22,179,7,21,22,3,3,49,87,27,18,0,7,53,63,26,18,14,33,6,134,48,173,65,101,98,19,36,34,18,54,38,16,11,4,3,84,2,9,5,"2,699"
2016,42,10,33,5,92,229,3,29,23,25,31,20,279,9,2,146,46,19,4,14,5,2,1,4,5,15,23,20,207,9,25,14,7,2,50,102,36,21,4,7,68,69,31,29,19,21,9,161,47,164,82,120,121,23,29,34,13,63,37,15,18,5,2,104,9,17,5,"2,935"
2017,47,7,28,6,80,209,1,23,29,20,22,20,270,12,4,148,48,27,1,19,4,11,8,9,10,8,32,17,181,8,27,15,3,5,45,106,33,21,3,2,50,83,23,17,16,31,12,173,52,154,103,113,108,24,39,39,19,44,46,21,14,11,4,124,7,20,9,"2,925"
2018,49,5,26,8,79,227,5,25,33,18,39,21,273,14,2,131,60,14,1,11,8,9,3,3,8,13,31,16,169,5,29,13,5,0,60,89,29,17,2,6,72,78,22,17,16,26,12,167,62,170,94,126,110,34,31,34,23,48,33,23,18,6,3,102,9,18,7,"2,917"
2019,54,7,31,7,74,203,3,20,19,25,46,27,282,8,5,154,58,10,3,7,6,9,2,6,10,8,25,28,207,7,25,17,3,2,53,88,33,14,2,10,53,82,26,18,16,35,12,163,68,163,96,107,115,31,30,32,18,52,43,22,12,5,2,119,7,18,9,"2,952"
2020,44,4,31,8,74,258,2,25,33,22,37,19,295,13,5,174,53,23,1,16,5,4,3,10,8,12,43,27,198,4,21,18,1,0,52,100,33,13,1,5,61,94,22,11,15,38,16,165,49,176,100,102,122,28,36,44,21,55,34,22,18,3,2,129,3,27,9,"3,097"
Total,396,76,296,70,785,"2,167",32,244,263,207,379,217,"2,861",90,48,"1,422",513,194,25,123,45,61,29,68,86,106,305,209,"1,905",63,237,156,45,21,503,926,340,165,20,64,565,744,256,191,160,295,110,"1,591",507,"1,604",849,"1,151","1,109",251,337,357,218,491,393,207,156,65,28,"1,092",56,191,74,"28,810"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Fatality Analysis Reporting System (FARS): 2010-2020 Final File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Generated: Wednesday, April 26, 2023 (11:55:05 AM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VERSION 5.5, RELEASED APR 03, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12001,Alachua County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12003,Baker County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12005,Bay County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12007,Bradford County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12009,Brevard County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12011,Broward County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12013,Calhoun County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12015,Charlotte County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12017,Citrus County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12019,Clay County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12021,Collier County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12023,Columbia County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12025,Dade County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12027,DeSoto County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12029,Dixie County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
