National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicles Involved in Fatal Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicles Involved in Fatal Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),Vehicle Make (Vpic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASTON MARTIN,TESLA,JAGUAR,MASERATI,LAND ROVER,ROLLS ROYCE,BUELL (EBR),TOYOTA,MERCEDES-BENZ,FREIGHTLINER,BMW,MINI,FORD,COUNTRY COACH,LINCOLN,MERCURY,LOTUS,CHEVROLET,BUICK,CADILLAC,GMC,MAZDA,HONDA,ACURA,DODGE,CHRYSLER,NISSAN,INFINITI,MITSUBISHI,VOLKSWAGEN,JEEP,VOLVO,VOLVO TRUCK,MACK,NAVISTAR,FIAT,ALFA ROMEO,PETERBILT,RAM,HYUNDAI,KIA,LAMBORGHINI,SMART,BLUE BIRD,OPTIMA,NABI,NEW FLYER,SUZUKI,KAWASAKI,E-ONE,HINO,LEXUS,OSHKOSH,UD,GREAT DANE TRAILERS,CATERPILLAR,SUBARU,IC BUS,WORKHORSE,INTERNATIONAL,GEELY,MITSUBISHI FUSO,KENWORTH,THOMAS BUILT,PONTIAC,ISUZU,ELDORADO NATIONAL,GILLIG,PIERCE MANUFACTURING,NOVABUS,TEMSA,YAMAHA,TRIUMPH,POLARIS,VICTORY,DUCATI,GENUINE SCOOTERS,SAAB,MOTO GUZZI,SPRINTER (DODGE,AUDI,BENTLEY,PORSCHE,BUELL,CAN-AM,VAN HOOL,SLINGSHOT,GEM,KTM,HUSQVARNA,HUSABERG,DIAMO,KTMMEX,FERRARI,AM GENERAL,AMERICAN MOTORCYCLE,CPI,CRANE CARRIER,DEEP SOUTH CHOPPERS,DARWIN MOTORCYCLE,AC CUSTOMS,CAPACITY TRUCKS,APACHE GOLF CARS,APRILIA,DAIHATSU,KALMAR INDUSTRIES,FBI MOTOR CO.,HUMMER,BENZHOU VEHICLE,CALIFORNIA SCOOTER,BIG BEAR AMERICAN,SATURN,FLYRITE CHOPPERS,BIG DOG MOTORCYCLES,DAEWOO,BYC,AMERICAN MOTORS,FONTAINE TRAILER,GEO,FOSHAN FOSTI MOTORCYCLE,AUTOCAR,AUTOCAR INDUSTRIES,EAST MANUFACTURING,BLACK WIDOW CUSTOM,CHONGQING HUANSONG,LONCIN,GUANGZHOU PANYU,ALLIANZ SWEEPER,KYMCO,BOSS HOSS,CHUNFENG HOLDING,AMERICAN CLASSIC,AMERICAN IRONHORSE,BADASS INDUSTRIES,INDIAN MOTORCYCLE,HUZHOU DAIXI SCOOTERS,MALON,DAIX,JOHNNY PAG MOTORCYCLES,CLASSIC MOTORCYCLES,LIFAN INDUSTRY,AMERICAN LAFRANCE,IRBITSKI MOTOTSICLETNY,BYD,CHONGQING ASTRONAUTIC,HARD BIKES,MCLAREN,DONGFANG,HELLBOUND STEEL,EAGLE,PLYMOUTH,ADLY,ZHEJIANG QIANJIANG,ROADMASTER,MV AGUSTA MOTOR,MONACO RV,NINGBO SANJIANG,PIAGGIO AND VESPA,QIANJIANG MOTORCYCLES,CCC,QINGQI,QINGQI GROUP NINGBO,PITTS TRAILERS,GLOBAL MOTORSPORT,PRECISION CYCLE,SUCKERPUNCH SALLYS,BAODIAO,SYM,ROYAL ENFIELD,ROKETA,SERVICE KING MANUFACTURING,TAIWAN HELIO TECHNOLOGY,TAIWAN GOLDEN BEE,TEREX ADVANCE MIXER,TAOTAO,VANDERHALL MOTOR,TAIZHOU CITY KAITONG,THE VEHICLE PRODUCTION,ZNEN,THOROUGHBRED MOTORSPORTS,"KR MOTORS CO.,",SHANGHAI JMSTAR,"TIFFIN MOTORHOMES,","TRAVIS BODY & TRAILER,",U.S. IRON HORSE,SIK N TWISTED PSYCLES,WASHINGTON CHOPPERS,TOMBERLIN,"TOMOS D.O.O., MOTOINDUSTRIJA",USA CHOPPERS,SPARTAN MOTORS,ZERO MOTORCYCLES,HUAWIN,STREET STEEL MOTORSPORTS,WILSON TRAILER,MOTOR COACH INDUSTRIES,TMC,JIAJUE,ZHEJIANG JMSTAR,MEIDUO,ZHEJIANG KANGDI,HARLEY DAVIDSON,MANAC TRAILERS,"BEYOND EXTREME,",ZHEJIANG LEIKE,ZHEJIANG LINGYU,BMC MOTORCYCLE,ZHEJIANG XINGYUE,ZHEJIANG TAIZHOU,ZHEJIANG RIYA MOTORCYCLE,CAGIVA MOTOR S.P.A,CREATE A CUSTOM,EXCELSIOR-HENDERSON,CIXI KINGRING MOTORCYCLE,GRUMPYS CUSTOM,PREVOST,OLDSMOBILE,UNITED MOTORS OF,IRON EAGLE MOTORCYCLES,MAGIC TILT TRAILERS,MINNEAPOLIS CUSTOM,HYOSUNG MOTORS,LIBERATOR MOTORCYCLES,SAFARI MOTOR COACHES,SHANGHAI MEITIAN,SOUTHWEST GOLF,CHANGZHOU YAMASAKI,XIAMEN XIASHING,WESTERN STAR,YONGFU,THUNDER MOUNTAIN,NEOPLAN,TAIZHOU CHUANL,ATLAS,BRP,BENELLI,QIPAI,FOSTI,WABASH NATIONAL,SETRA,JONWAY,HYUNDAI TRANSLEAD,FORETRAVEL,CHICAGO SCOOTER,SSR MOTORSPORTS,STRICK COMMERCIAL,MARMON MOTOR CO,GENESIS,CROWN COACH CORPORATION,CAMPAGNA,FLXIBLE,"ROSENBAUER MOTORS,LLC",KOVATCH MOBILE,UM MOTORCYCLES,WHITE,WHITEGMC,JOHN DEERE,MERKUR,PEUGEOT,PANTHER MOTORS,DATSUN,YIBEN,SPYDER,CHANCE COACH,ATK,ORION BUS,TRAILMOBILE,LINHAI,E-TON,JIANGMEN ZHONGYU,CLASSIC MC,"DAELIM MOTOR CO.,",MAC TRAILER MANUFACTURING,CLASSIC ROADSTERS,TITAN,WESTERN RECREATIONAL,TAYLOR MADE CHOPPERS,"WARREN MANUFACTURING,",LODAL,ZHWEKI,CALIFORNIA MOTORCYCLE,ULTRA ACQUISITION,MOTORIZED MANUFACTURING,ALEXANDER DENNIS,INDEPENDENCE MOTORCYCLE,KEYSTONE,DINA AUTOBUSES,HME INC.,FONTAINE TRAILER,ECSTASY,WESTERN,KODIAK MOTORCYCLE,DAYTEC CENTER,STERLING TRUCK,COLUMBIA,LEDWELL & SONS,ZONGSHEN INDUSTRIAL,CHONGQING ZONGSHEN,FERRARA,LANCE,TEYIN,UTILITY TRAILER,ARCTIC CAT,APOLLO,SUTPHEN,WILDFIRE,TRANSCRAFT,SEAGRAVE,SENLING,URAL,Unknown Make,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR FREIGHTLINER),,,,,,,,,,,,,,,,CORPORATION,,,,,,,,,,LLC,,,INDUSTRY GROUP,,MADE CHOPPER DBA,,,,,,,CO.,,MANUFACTURING CO.,,,CORP.,MOTORCYCLE WORKS,INDUSTRIES,,HUANAN MOTORS GROUP,COMPANY,,,GROUP HANGZHOU,MOTORS INC.,MOTORCYCLES,,,,,,,& SIDECARS,,,ZAVOD,,BASHAN,,,,MOTORCYCLES,,,,MOTORCYCLE,,,,DYKON MOTORCYCLE,,,,,RHON MOTORCYCLE,,GROUP,WORKS,,,,,,,CO.,,,,WORKS,MOTORCYCLE MANUFACTURE,GROUP,,INC,LTD.,MOTORCYCLE,INC,INC.,MOTOR CYCLE COMPANY,,,,,,CHASSIS,,,,CO.,,,,SHENKE MOTORCYCLE,,VEHICLES,,USA,LLC DBA EXTREME,MACHINE INDUSTRY,VEHICLE INDUSTRY,CO.,VEHICLE CO,WANGYE POWER CO,CO,,CYCLE,MOTORCYCLES,CO,MOTORCYCLES,,,AMERICA,,,CYCLE,& MACHINERY,,,MOTORCYCLE COMPANY,CARS,MOTORCYCLE CO.,MOTORCYCLE CO.,,,CUSTOM CYCLES,,MOTORCYCLE MANUFACTURING,,,,,,CORPORATION,,,TRAILERS,,COMPANY,,TRAILER,,,,,,,EQUIPMENT,,,,,,,,,,,,,,,,,"MOTOR (GROUP) CO.,",,LTD,,,,"VEHICLES, INC.",INC.,INC.,,,COMPANY (CMC),CORPORATION,INC,LIMITED,COMPANY,,,,,,,"MANUFACTURING COMPANY,",,,,"ENTERPRISES, INC.","GROUP CO., LTD.",AUTOMOTIVE INDUSTRY,,,,MANUFACTURER,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO.,,BIG BEAR CHOPPERS,,,,,,,,,,,,,,,,"CO., LTD.",,,,MOTORCYCLES,,,,,,,,,,,,,,,,,,,,,,,,,,"CO., LTD.",,,,,,,,,,,,,,,,,,,,"CO.,LTD",,,,,,,,,,,,,,,,,,,,,,CO,,,,,CYCLE WORKS,CO,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTD.,,,,,,,,,,,,,,,,,,,,,,INC.,,,,,,"CO., LTD.",,,,,,,,,,,,,,
2010,0,0,41,0,44,0,0,"2,939",219,865,318,27,"6,957",1,377,673,0,"6,334",898,411,"1,315",516,"2,904",302,"2,752",855,"1,629",155,427,327,"1,024",118,243,240,10,0,1,445,0,529,419,0,3,18,0,9,17,806,437,0,15,263,1,15,0,0,276,17,11,547,0,4,412,14,"1,149",178,2,30,6,3,0,532,40,37,19,34,4,38,1,4,71,2,11,26,3,5,0,0,7,0,0,0,2,0,0,0,1,1,0,0,0,0,0,7,0,2,0,29,1,0,0,489,0,4,12,0,2,0,92,0,6,0,0,0,2,0,0,0,5,3,2,1,5,0,6,0,0,0,0,0,1,0,3,0,8,0,0,0,0,14,197,1,1,3,0,0,0,6,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,3,0,0,0,0,7,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1,0,4,4,0,"1,616",0,0,0,0,0,0,1,0,0,0,0,0,0,6,496,1,0,0,0,1,1,0,0,0,0,0,46,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,21,0,1,0,0,8,0,0,0,0,11,0,1,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,222","44,862"
2011,0,0,46,1,51,1,0,"2,997",250,887,305,26,"6,646",2,348,608,0,"6,163",847,387,"1,257",499,"2,908",334,"2,647",792,"1,686",193,431,367,"1,070",128,259,256,6,0,0,435,0,576,469,0,3,19,3,5,17,834,481,1,19,260,5,15,0,0,304,18,6,605,0,13,346,13,991,161,1,23,3,6,0,605,53,28,20,36,1,29,1,4,79,0,21,22,5,9,0,0,6,1,0,0,1,0,0,0,0,3,0,0,0,0,0,8,1,0,0,30,3,0,0,435,0,2,7,0,1,0,79,0,6,0,1,0,1,0,0,0,9,3,3,0,0,0,1,0,1,0,0,0,1,0,0,0,10,0,0,0,0,9,136,0,0,5,0,0,0,7,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,1,2,0,1,0,4,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,14,0,0,7,1,1,"1,568",0,0,0,0,0,0,1,0,0,0,0,0,0,8,434,2,0,0,0,7,0,0,1,0,0,2,51,0,3,4,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,18,0,1,0,0,5,0,0,0,1,3,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,80,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,"2,150","44,119"
2012,0,0,36,1,46,1,0,"3,128",271,896,343,32,"6,802",0,349,599,1,"6,524",821,404,"1,323",477,"3,047",307,"2,690",790,"1,730",189,400,393,"1,121",165,299,273,11,2,0,488,0,620,527,1,6,20,1,12,21,829,525,0,21,316,4,8,1,2,323,31,11,591,0,18,415,11,"1,069",166,1,22,2,1,0,655,54,46,23,29,2,40,0,2,106,0,20,26,9,5,0,0,5,1,0,0,3,5,0,0,0,3,0,0,0,0,0,12,1,0,0,36,3,0,0,477,0,1,13,0,1,0,68,0,8,0,0,0,0,0,0,0,4,1,3,0,3,0,1,0,2,0,0,2,3,0,1,0,15,1,0,3,1,10,144,0,1,3,5,0,0,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,3,16,0,1,1,7,0,0,5,0,0,0,0,0,0,1,0,2,0,1,0,0,7,1,0,4,2,0,"1,714",0,0,4,1,1,0,2,0,0,1,0,2,0,8,365,0,0,0,0,5,0,0,0,0,0,1,36,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,12,0,0,2,0,6,0,0,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,85,1,0,0,0,3,0,0,0,5,0,0,1,0,0,0,0,"2,219","45,960"
2013,0,2,33,1,63,0,0,"3,290",281,956,378,33,"6,526",2,327,553,0,"6,188",838,400,"1,364",519,"3,033",307,"2,564",798,"1,825",206,357,418,"1,044",139,304,266,6,9,1,528,31,732,527,2,13,25,0,13,17,775,465,0,27,302,7,4,0,3,313,17,5,572,0,10,485,12,920,149,2,27,3,2,0,647,44,59,29,32,2,32,2,4,124,1,23,22,6,12,0,1,8,1,0,0,2,3,0,0,0,4,0,0,1,0,0,11,0,0,0,35,1,0,1,458,0,2,11,0,0,0,66,0,4,0,0,0,1,0,0,1,8,3,2,0,2,0,2,0,3,0,2,0,0,2,2,0,7,0,0,3,0,7,103,1,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,4,15,0,4,1,2,1,0,2,0,0,1,0,0,0,0,0,3,0,1,0,0,15,1,0,7,1,0,"1,570",0,0,0,0,0,0,2,0,0,0,0,1,0,12,302,0,1,0,0,11,0,1,0,1,0,0,37,0,0,2,2,0,0,0,0,1,0,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,14,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"2,158","45,101"
2014,0,2,46,2,43,0,0,"3,357",278,"1,025",414,40,"6,481",0,347,488,1,"6,154",763,403,"1,281",509,"3,112",330,"2,610",889,"1,853",195,366,435,"1,033",159,311,286,5,8,0,451,126,727,558,3,9,12,0,15,17,766,493,0,24,318,5,4,0,3,335,30,5,554,0,8,468,13,781,136,0,24,0,6,0,556,53,63,26,29,10,38,0,3,129,1,27,25,11,7,0,0,14,0,0,1,0,1,0,0,0,3,1,0,0,0,0,9,0,1,1,33,2,0,0,409,0,1,5,0,0,0,32,1,9,0,0,0,1,0,0,0,9,0,0,0,3,0,2,0,0,1,0,0,0,0,2,0,13,0,0,3,0,3,77,0,1,3,1,0,0,7,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,15,0,1,2,6,1,0,3,0,1,0,0,0,0,0,0,3,0,3,0,0,19,0,0,5,1,0,"1,627",0,0,1,1,0,1,0,0,0,0,0,0,0,8,245,1,0,0,0,6,0,0,0,0,0,0,40,0,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,13,0,0,0,1,4,0,0,1,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,59,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,"2,104","44,950"
2015,0,3,41,2,40,0,0,"3,772",351,"1,110",472,43,"7,033",1,337,480,1,"6,797",790,440,"1,472",525,"3,417",325,"2,778",865,"2,260",255,372,506,"1,200",157,368,259,4,11,0,549,200,913,721,1,8,19,0,7,20,834,504,2,34,408,3,9,0,4,423,29,10,601,0,10,505,15,811,123,3,28,4,2,1,658,57,76,35,49,6,29,3,2,120,1,31,26,17,13,3,0,22,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,0,2,0,33,2,0,0,389,0,0,5,0,1,0,41,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,10,0,0,3,1,0,0,0,0,0,8,0,0,2,0,2,58,2,0,2,4,0,1,3,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,2,19,0,2,0,12,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,17,2,0,5,4,0,"1,686",0,0,1,0,0,0,1,0,0,0,0,3,0,8,232,0,0,0,0,4,0,0,0,0,0,1,32,0,1,1,3,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,1,0,0,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"2,299","49,478"
2016,0,13,58,4,49,0,0,"4,154",389,"1,172",495,38,"7,265",0,339,463,0,"7,033",884,462,"1,542",551,"3,775",397,"2,842",943,"2,383",309,363,540,"1,260",168,361,257,4,21,0,541,346,"1,054",850,2,7,24,0,16,24,772,545,0,45,454,5,12,0,2,422,27,7,558,0,9,497,9,812,138,1,27,5,3,0,639,60,99,42,38,6,28,1,5,164,0,31,13,20,11,5,0,20,1,1,0,0,1,0,1,0,3,0,0,0,0,1,12,0,0,0,34,0,0,0,415,0,1,5,0,1,1,32,0,16,0,0,0,2,0,0,0,9,1,1,0,1,0,14,0,2,2,0,0,1,3,1,0,14,0,0,1,0,5,56,0,0,4,1,0,1,8,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,6,41,0,0,1,10,0,0,6,1,0,0,0,0,0,0,0,1,1,1,1,0,15,0,0,4,3,0,"1,999",1,0,1,0,1,0,2,1,1,0,0,1,1,4,247,1,0,0,0,3,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,0,0,0,0,2,3,5,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,54,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,1,"2,633","52,714"
2017,1,7,45,7,48,0,2,"4,330",438,"1,199",520,60,"7,325",0,352,432,0,"6,999",770,442,"1,559",557,"3,750",402,"2,854",945,"2,645",285,345,545,"1,395",135,361,277,6,26,0,603,439,"1,229",922,4,7,13,0,11,25,719,553,0,44,432,5,8,4,3,462,24,6,528,1,8,531,8,683,114,1,32,8,1,2,687,60,72,32,40,3,24,1,2,158,0,34,18,14,8,4,0,22,1,0,0,2,4,2,0,0,1,0,0,0,0,0,5,0,1,0,37,1,1,0,350,1,2,1,0,0,0,30,0,13,0,0,1,4,0,0,0,11,1,3,0,4,1,25,0,0,4,1,0,0,2,0,0,7,0,0,2,0,3,41,1,1,10,1,1,2,13,0,0,1,0,0,0,0,0,4,5,1,2,1,1,0,2,42,0,0,1,15,1,0,2,0,0,0,0,0,0,0,0,5,4,0,0,0,18,0,0,5,4,0,"1,971",0,0,0,0,0,1,2,4,0,1,0,0,0,7,160,0,0,0,1,4,0,0,0,0,0,0,55,4,1,1,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,6,0,0,0,0,1,3,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,44,0,0,1,0,1,0,0,1,3,0,0,0,0,0,1,0,"2,458","53,128"
