National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Selected: Crash Date (Month): April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,86,112,109,104,83,86,75,79,88,119,104,60,64,76,78,100,99,117,63,64,68,52,92,123,86,64,60,66,67,108,"2,552"
2011,94,98,89,66,55,70,67,67,117,95,68,72,64,82,75,96,92,72,77,63,80,87,105,84,58,55,53,72,73,92,"2,338"
2012,83,81,70,61,76,73,112,96,65,59,57,69,87,93,114,89,74,70,67,80,104,94,75,75,85,70,83,104,99,69,"2,434"
2013,74,59,70,90,78,116,92,80,84,70,69,55,89,103,64,61,57,66,72,86,84,49,70,56,66,92,116,93,72,67,"2,300"
2014,62,64,78,78,86,85,48,63,82,66,101,135,101,70,55,81,71,85,100,85,69,54,56,65,86,98,98,64,63,59,"2,308"
2015,83,65,91,101,96,74,59,69,60,74,115,119,66,69,76,83,93,120,86,64,56,83,68,88,94,98,68,77,71,73,"2,439"
2016,103,114,107,90,68,80,84,90,113,85,70,85,82,72,80,125,106,101,82,76,94,98,120,90,72,64,74,68,89,131,"2,713"
2017,106,104,78,80,81,94,100,110,120,77,78,78,91,115,118,90,84,82,68,77,88,117,108,86,78,74,68,102,117,101,"2,770"
2018,88,81,80,68,75,100,86,109,82,65,66,97,109,105,78,80,76,75,79,90,102,101,72,87,63,69,105,114,84,86,"2,572"
2019,68,64,72,90,95,115,101,90,100,79,83,78,102,82,64,73,79,87,90,126,91,66,79,79,87,95,103,106,76,91,"2,611"
2020,70,65,61,59,75,71,54,61,63,73,79,58,52,68,59,67,75,118,86,74,59,57,57,64,109,106,65,79,61,85,"2,130"
Total,917,907,905,887,868,964,878,914,974,862,890,906,907,935,861,945,906,993,870,885,895,858,902,897,884,885,893,945,872,962,"27,167"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Fatality Analysis Reporting System (FARS): 2010-2020 Final File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Generated: Tuesday, April 25, 2023 (4:02:54 PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VERSION 5.5, RELEASED APR 03, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
