National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Selected: Crash Date (Month): December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,78,69,75,99,88,57,57,71,72,101,99,80,64,69,73,79,88,101,96,84,74,77,90,89,59,64,59,71,68,96,90,"2,437"
2011,84,87,109,74,73,75,75,63,87,99,71,76,66,86,82,96,103,90,82,58,89,69,70,82,61,66,74,65,82,108,95,"2,497"
2012,115,99,86,93,67,88,105,106,76,74,55,67,60,98,116,76,84,77,75,89,107,82,76,71,62,93,59,66,75,68,77,"2,542"
2013,76,88,77,79,80,80,87,91,60,82,66,87,97,103,64,78,62,72,63,82,113,77,77,89,49,80,76,84,71,90,77,"2,457"
2014,89,81,70,80,105,96,80,89,76,78,89,96,116,94,73,84,63,72,108,104,84,72,73,83,61,92,107,69,74,70,76,"2,604"
2015,72,86,112,97,120,115,78,84,90,88,126,111,111,94,84,83,104,91,106,73,77,103,111,89,89,93,68,71,76,75,84,"2,861"
2016,95,103,114,99,97,75,87,85,109,108,86,76,79,68,102,109,119,98,77,88,112,98,102,123,72,80,85,85,87,76,96,"2,890"
2017,104,121,109,75,84,75,90,104,105,84,90,87,96,98,98,116,88,94,98,84,116,107,103,93,67,81,85,77,81,92,70,"2,872"
2018,93,81,95,78,86,92,105,87,76,81,89,79,80,91,123,108,73,87,91,89,108,106,86,87,71,82,73,90,84,82,97,"2,750"
2019,71,63,68,94,90,98,115,87,95,78,89,87,119,93,94,86,83,93,76,106,102,92,122,82,88,68,88,97,66,82,102,"2,774"
2020,97,105,70,96,115,101,84,87,96,107,115,122,117,83,95,89,99,108,93,107,96,111,105,106,81,74,95,84,86,91,99,"3,014"
Total,974,983,985,964,"1,005",952,963,954,942,980,975,968,"1,005",977,"1,004","1,004",966,983,965,964,"1,078",994,"1,015",994,760,873,869,859,850,930,963,"29,698"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Fatality Analysis Reporting System (FARS): 2010-2020 Final File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Generated: Tuesday, April 25, 2023 (4:03:05 PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VERSION 5.5, RELEASED APR 03, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
