National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Selected: Crash Date (Month): January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,120,58,49,64,65,49,76,60,78,53,61,67,68,87,70,76,73,68,70,59,71,65,80,65,64,57,58,64,77,64,65,"2,101"
2011,117,48,74,72,62,54,74,63,73,64,59,54,47,68,93,61,58,57,61,60,87,86,64,54,51,49,79,68,85,82,64,"2,088"
2012,117,63,65,80,71,106,95,79,70,59,67,85,75,86,72,55,71,64,61,75,81,77,58,62,62,59,75,89,65,63,76,"2,283"
2013,76,53,81,66,58,66,61,73,89,63,76,83,68,61,75,78,57,76,105,81,58,61,70,66,90,82,83,85,68,65,56,"2,230"
2014,99,78,69,66,60,52,49,73,70,97,89,77,73,56,59,73,72,79,74,62,66,56,69,79,69,73,70,54,46,88,71,"2,168"
2015,105,65,95,52,79,78,56,59,106,76,74,61,85,74,66,83,84,108,71,76,63,72,86,89,70,65,61,65,66,86,95,"2,371"
2016,93,70,75,83,47,81,66,90,81,84,63,80,67,84,97,90,69,60,59,72,78,82,74,71,66,65,68,68,94,92,85,"2,354"
2017,133,72,73,64,86,74,74,78,81,92,92,83,106,103,82,79,91,82,88,82,90,93,83,87,72,74,96,70,86,77,82,"2,625"
2018,111,72,94,85,104,76,84,98,82,108,92,96,87,87,76,60,68,66,93,86,88,82,72,85,79,94,105,84,69,67,81,"2,631"
2019,103,83,103,79,87,85,103,70,72,82,105,112,67,72,76,68,79,99,86,80,67,67,63,80,67,79,80,73,64,66,59,"2,476"
2020,93,83,100,82,72,84,70,75,85,74,98,82,55,90,83,85,82,95,85,60,58,84,85,84,87,85,65,63,78,82,82,"2,486"
Total,"1,167",745,878,793,791,805,808,818,887,852,876,880,798,868,849,808,804,854,853,793,807,825,804,822,777,782,840,783,798,832,816,"25,813"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Fatality Analysis Reporting System (FARS): 2010-2020 Final File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Generated: Tuesday, April 25, 2023 (4:01:10 PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VERSION 5.5, RELEASED APR 03, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
