National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Selected: Crash Date (Month): March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,68,48,48,65,66,112,79,63,57,67,68,77,77,72,60,53,93,81,93,96,72,41,61,61,75,81,91,84,67,69,68,"2,213"
2011,53,62,69,82,98,89,68,48,64,63,70,97,71,65,49,60,73,104,106,91,65,72,77,60,65,96,64,56,62,59,62,"2,220"
2012,73,80,90,85,71,68,84,61,82,94,83,65,68,77,80,108,111,109,63,58,74,64,87,101,92,57,56,61,77,97,111,"2,487"
2013,71,85,92,69,69,59,71,72,78,94,76,75,75,61,86,101,78,72,72,60,66,73,112,64,58,55,53,56,86,126,91,"2,356"
2014,97,65,75,48,49,71,85,94,79,70,80,66,55,76,86,63,75,82,45,80,92,93,75,60,51,68,57,66,91,96,55,"2,245"
2015,76,66,70,76,69,92,95,79,86,62,74,64,95,97,99,86,75,69,60,79,90,83,65,66,74,72,72,83,86,61,80,"2,401"
2016,79,72,69,109,96,113,71,61,81,85,93,107,100,81,77,84,97,77,94,86,92,60,74,100,94,105,92,82,76,84,103,"2,694"
2017,80,80,110,102,108,58,93,66,81,86,104,94,87,70,82,72,97,133,94,78,73,76,81,85,102,83,76,76,76,95,91,"2,689"
2018,89,107,116,85,79,63,56,69,93,111,116,70,84,65,91,101,108,89,80,73,66,68,80,87,80,78,66,72,95,71,107,"2,615"
2019,69,82,83,63,73,72,64,78,95,96,82,73,78,69,97,90,82,61,80,75,77,113,108,78,75,81,64,77,106,116,87,"2,544"
2020,107,92,82,86,83,90,102,94,79,76,71,68,82,102,77,75,64,64,55,101,65,71,66,73,61,61,76,77,71,48,56,"2,375"
Total,862,839,904,870,861,887,868,785,875,904,917,856,872,835,884,893,953,941,842,877,832,814,886,835,827,837,767,790,893,922,911,"26,839"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Fatality Analysis Reporting System (FARS): 2010-2020 Final File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Generated: Tuesday, April 25, 2023 (4:02:52 PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VERSION 5.5, RELEASED APR 03, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
