National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Selected: Crash Date (Month): November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,74,77,77,74,120,95,82,71,75,82,80,105,108,94,68,86,72,59,98,114,105,90,88,85,76,80,103,94,77,78,"2,587"
2011,87,57,66,102,114,103,92,77,77,85,93,88,99,74,73,70,78,91,103,83,84,75,88,79,72,89,72,75,73,75,"2,494"
2012,89,90,118,106,75,77,76,81,77,125,113,83,72,70,74,102,113,75,64,85,105,84,70,106,83,79,74,76,69,91,"2,602"
2013,107,110,84,61,81,82,87,92,104,106,78,89,73,85,105,99,107,68,74,61,100,97,113,71,57,74,103,68,84,95,"2,615"
2014,132,89,70,83,93,78,105,106,101,93,75,76,74,90,102,79,70,76,75,68,97,132,97,93,87,93,88,98,102,92,"2,714"
2015,123,90,102,97,99,81,106,97,89,91,82,98,97,89,96,80,103,85,107,95,96,88,89,77,87,101,92,85,85,73,"2,780"
2016,90,102,114,108,117,119,94,99,89,92,103,123,109,103,81,96,97,127,132,101,102,84,100,108,93,105,96,82,92,83,"3,041"
2017,102,102,95,110,100,98,89,76,88,106,96,93,73,82,96,83,117,110,96,95,86,105,109,123,104,99,85,81,107,97,"2,903"
2018,97,90,123,104,87,101,85,89,98,108,82,85,103,84,104,103,111,98,98,86,96,98,94,95,71,72,71,72,77,109,"2,791"
2019,125,98,89,79,97,98,91,110,114,108,106,89,80,80,105,99,97,82,86,78,81,94,104,100,102,85,96,84,90,94,"2,841"
2020,137,85,101,99,93,113,144,135,99,101,109,97,117,129,101,94,83,83,115,122,119,113,101,107,128,92,104,85,114,84,"3,204"
Total,"1,163",990,"1,039","1,023","1,076","1,045","1,051","1,033","1,011","1,097","1,017","1,026","1,005",980,"1,005",991,"1,048",954,"1,048",988,"1,071","1,060","1,053","1,044",960,969,984,900,970,971,"30,572"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Fatality Analysis Reporting System (FARS): 2010-2020 Final File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Generated: Tuesday, April 25, 2023 (4:03:03 PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VERSION 5.5, RELEASED APR 03, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
